日付,曜日,最高気温(℃),最低気温(℃),降水量の合計(mm),日照時間(時間),降雪量合計(cm),最大瞬間風速(m/s),風向,天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),最大風速(m/s),風向,平均気温(℃)
2018年7月25日,水,37,25.6,,8.1,,6.5,東南東,晴後薄曇,薄曇後一時晴,4.5,南南東,30.8
2018年7月26日,木,36.6,26.6,,10.5,,8.4,東北東,薄曇一時晴,曇一時晴,5.9,東北東,31
2018年7月27日,金,34.8,27.2,,7.8,,9.3,東北東,曇後晴,曇時々晴,6.3,東北東,29.9
2018年7月28日,土,32.7,25.6,0,5.9,,12.7,北北西,曇,曇後時々雨,8.8,北北西,28.9
2018年7月29日,日,31,24.3,31.5,5.9,,16.4,東,雨後晴,晴,11.7,東南東,27.7
2018年7月30日,月,33.8,25.2,,10,,12.9,東南東,晴,晴一時曇,8.6,東,29.3
2018年7月31日,火,34.8,25.2,,13.3,,9.5,東,快晴,晴,6.1,東北東,29.8
2018年8月1日,水,34,25.9,,9.9,,9.6,東北東,晴一時曇,晴時々曇,5.9,東北東,29.7
2018年8月2日,木,35.9,25.6,,9.4,,8.9,南南東,晴一時曇,晴,4.9,南南東,30.3
2018年8月3日,金,36.7,26.3,0,10.4,,10,南西,晴後一時曇,晴,6.6,南西,31
2018年8月4日,土,37.2,24.8,,12.6,,8.1,南南西,晴,晴,5.5,南,31.1
2018年8月5日,日,37.4,26.8,,12.1,,9,南,晴,晴,5.9,南西,31.9
2018年8月6日,月,37,27.4,,10.3,,9.4,北,晴,晴後薄曇,6.1,北北西,31.5
2018年8月7日,火,35.6,25.2,,11.4,,9,北,晴一時薄曇,晴,6.1,北,29.5
2018年8月8日,水,35.1,22.4,,13.3,,11.7,北,晴,晴後曇,8.5,北北西,27.5
2018年8月9日,木,33.7,26.1,0,0.6,,9.1,北北西,曇,曇一時晴,6.9,北北西,28.7
2018年8月10日,金,33.9,26.2,0,4.5,,6.9,南東,曇後一時晴,晴時々曇,4.8,南東,29.4
2018年8月11日,土,36,25.6,,8.5,,9,東,曇一時晴,曇一時晴,5.9,東北東,30
2018年8月12日,日,36.2,26.6,0,4.8,,8.3,南,曇時々晴,曇,5.4,南東,30.2
2018年8月13日,月,35.8,26.8,0,4.6,,8,南東,曇、雷を伴う,曇一時晴,5.4,東南東,30.1
2018年8月14日,火,35.8,25.7,,10.9,,10.7,東南東,薄曇時々晴,曇,7.1,東北東,30.5
2018年8月15日,水,31.4,26.1,4.5,0.1,,12.6,東,雨時々曇,雨後曇,7.5,東,28.1
2018年8月16日,木,30,25,3.5,0.3,,8.4,西,曇時々雨,曇,5.8,西,26.8
2018年8月17日,金,30.8,20.5,,12,,11,北北東,晴,晴後一時薄曇,7,北北東,25.3
2018年8月18日,土,30.8,17.3,,12,,6.3,南東,薄曇時々晴,晴一時薄曇,4.3,東南東,23.9
2018年8月19日,日,32.1,20.1,,12,,9.5,東北東,薄曇後時々晴,晴後薄曇,5.6,東,25.8
2018年8月20日,月,32.3,22,0,4,,14,東南東,曇,曇後晴,7.2,東南東,27.3
2018年8月21日,火,33.9,27.1,0,8.3,,16.7,東南東,曇後晴,晴,9.8,東南東,29.8
2018年8月22日,水,35.1,28,,12.1,,16.4,東南東,薄曇後晴,晴後曇,9.9,東,30.9
2018年8月23日,木,35.3,24.9,17.5,3.4,,21.8,北北東,曇後時々雨,雨時々曇,11.6,北東,29.7
2018年8月24日,金,36.9,24.9,8.5,10,,17.4,西南西,晴一時薄曇,曇時々晴,10.8,西南西,31
2018年8月25日,土,36.4,26.9,0,9.6,,11.4,南西,晴一時曇,快晴,7.1,南南西,31
2018年8月26日,日,36.2,25.1,,11.2,,9.8,南南西,晴,晴,6.6,南南西,30
2018年8月27日,月,35.2,25.1,,10.7,,11,北北西,晴,晴後曇,6.8,北北西,29.2
2018年8月28日,火,34.3,25.5,0,6.2,,9,西南西,曇,晴,6.2,南西,29.1
2018年8月29日,水,35.5,24.7,,11.5,,7.9,南南東,晴,晴後一時曇,6.2,南南東,29.5
2018年8月30日,木,34.8,25.1,,7.2,,10.5,西南西,晴後曇,晴時々曇,7.3,西南西,29.7
2018年8月31日,金,34.5,25.6,3,5.7,,14,西北西,晴時々曇後一時雨、雷を伴う,雨時々曇一時晴,9,西北西,28.7
2018年9月1日,土,27.1,23.4,8,0,,8.3,西南西,雨後曇,曇,5.3,西南西,25.1
